path,type,lines,sha256_prefix,validation,review_depth,signals_to_check
src/BuildingBlocks/BuildingBlocks.Infrastructure/Localization/CompositeLocalizationService.cs,cs,79,b1fe75899e7548de,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Infrastructure/Locking/RedisLock.cs,cs,119,2117991db62ba71b,C# included in project-tree scan,automated inspection,broad_exception_catch;cancellation_token;manual_time
src/BuildingBlocks/BuildingBlocks.Infrastructure/Messaging/MassTransitEventPublisher.cs,cs,24,bb0acad8902de573,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token;external_call
src/BuildingBlocks/BuildingBlocks.Infrastructure/Outbox/OutboxProcessingMetrics.cs,cs,44,3974608d31a346fc,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/BaseUnitOfWork.cs,cs,92,be97d8b04b840a39,C# included in project-tree scan,automated inspection,ef_save;cancellation_token;query_materialization
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/Converters/DateTimeOffsetUtcConverter.cs,cs,23,0e695b62048e3070,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/IUnitOfWork.cs,cs,1,b6b6c080fc3b5f4f,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Resilience/ResilienceExtensions.cs,cs,133,c6552fc56b2bdec5,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Scheduling/BaseJob.cs,cs,132,cb3f841f4f8fa332,C# included in project-tree scan,automated inspection,broad_exception_catch;cancellation_token
src/BuildingBlocks/BuildingBlocks.Infrastructure/Scheduling/SchedulingExtensions.cs,cs,103,5fe7a6cf7f624c39,C# included in project-tree scan,automated inspection,manual_time
src/BuildingBlocks/BuildingBlocks.Infrastructure/Storage/AzureBlobStorageService.cs,cs,266,0b1bdb120d3f27bb,C# included in project-tree scan,automated inspection,cancellation_token;manual_time
src/BuildingBlocks/BuildingBlocks.Infrastructure/Storage/BlobStorageConstants.cs,cs,19,2c66bd0d83d3b88f,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Storage/LocalFileStorageService.cs,cs,302,9adbfb07704f0666,C# included in project-tree scan,automated inspection,broad_exception_catch;cancellation_token;manual_time
src/BuildingBlocks/BuildingBlocks.Infrastructure/Storage/StorageServiceExtensions.cs,cs,31,49af077d92d59756,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Authorization/Attributes.cs,cs,35,4f68059d2cc51d29,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Authorization/ClaimsPrincipalExtensions.cs,cs,53,ce2911f57ed68d6b,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Web/Authorization/PermissionHandler.cs,cs,54,10a633a6feac5a9b,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/BuildingBlocks.Web.csproj,csproj,56,d803f89dd3d0b670,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Constants/Constants.cs,cs,25,cb9a06787dfd073a,C# included in project-tree scan,automated inspection,
